Results from the Java program
x = 1.000000e+16, y = 1.000000e+16, z = 1.000000e+16 | (x + y) + z = 3.000000e+16, x + (y + z) = 3.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = 1.000000e-16 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = 1.000000e+00 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = -1.000000e+16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = -1.000000e-16 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = 0.000000e+00 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = 1.234568e+04 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e+16, z = -9.876543e+03 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = 1.000000e+16 | (x + y) + z = 2.000000e+16, x + (y + z) = 2.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = 1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = 1.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = -1.000000e+16 | (x + y) + z = 0.000000e+00, x + (y + z) = 0.000000e+00 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = -1.000000e-16 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
x = 1.000000e+16, y = 1.000000e-16, z = 0.000000e+00 | (x + y) + z = 1.000000e+16, x + (y + z) = 1.000000e+16 | Associative: true
