Results from the Java program
x = 100000000, y = 100000000, z = 100000000 | (x + y) + z = 300000000, x + (y + z) = 300000000 | Associative: true
x = 100000000, y = 100000000, z = 0 | (x + y) + z = 200000000, x + (y + z) = 200000000 | Associative: true
x = 100000000, y = 100000000, z = 1 | (x + y) + z = 200000001, x + (y + z) = 200000001 | Associative: true
x = 100000000, y = 100000000, z = -10000000 | (x + y) + z = 190000000, x + (y + z) = 190000000 | Associative: true
x = 100000000, y = 100000000, z = -1000000000 | (x + y) + z = -800000000, x + (y + z) = -800000000 | Associative: true
x = 100000000, y = 100000000, z = 0 | (x + y) + z = 200000000, x + (y + z) = 200000000 | Associative: true
x = 100000000, y = 100000000, z = 12345 | (x + y) + z = 200012345, x + (y + z) = 200012345 | Associative: true
x = 100000000, y = 100000000, z = -9876 | (x + y) + z = 199990124, x + (y + z) = 199990124 | Associative: true
x = 100000000, y = 0, z = 100000000 | (x + y) + z = 200000000, x + (y + z) = 200000000 | Associative: true
x = 100000000, y = 0, z = 0 | (x + y) + z = 100000000, x + (y + z) = 100000000 | Associative: true
x = 100000000, y = 0, z = 1 | (x + y) + z = 100000001, x + (y + z) = 100000001 | Associative: true
x = 100000000, y = 0, z = -10000000 | (x + y) + z = 90000000, x + (y + z) = 90000000 | Associative: true
x = 100000000, y = 0, z = -1000000000 | (x + y) + z = -900000000, x + (y + z) = -900000000 | Associative: true
x = 100000000, y = 0, z = 0 | (x + y) + z = 100000000, x + (y + z) = 100000000 | Associative: true
x = 100000000, y = 0, z = 12345 | (x + y) + z = 100012345, x + (y + z) = 100012345 | Associative: true
x = 100000000, y = 0, z = -9876 | (x + y) + z = 99990124, x + (y + z) = 99990124 | Associative: true
x = 100000000, y = 1, z = 100000000 | (x + y) + z = 200000001, x + (y + z) = 200000001 | Associative: true
x = 100000000, y = 1, z = 0 | (x + y) + z = 100000001, x + (y + z) = 100000001 | Associative: true
